,0,1,accuracy,macro avg,weighted avg
precision,0.8628158844765343,0.5294117647058824,0.8435374149659864,0.6961138245912084,0.8095165864179606
recall,0.9676113360323887,0.19148936170212766,0.8435374149659864,0.5795503488672582,0.8435374149659864
f1-score,0.9122137404580153,0.28125,0.8435374149659864,0.5967318702290076,0.8113453873915979
support,247.0,47.0,0.8435374149659864,294.0,294.0
