,0,1,accuracy,macro avg,weighted avg
precision,0.8741007194244604,0.75,0.8673469387755102,0.8120503597122302,0.8542614887681691
recall,0.9838056680161943,0.2553191489361702,0.8673469387755102,0.6195624084761823,0.8673469387755102
f1-score,0.9257142857142857,0.38095238095238093,0.8673469387755102,0.6533333333333333,0.8386264982183349
support,247.0,47.0,0.8673469387755102,294.0,294.0
